source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
breast cancer cell line BR136	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR136	not available	BR136	1	run 11	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR136.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR143	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR143	not available	BR143	1	run 12	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR143.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR144	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR144	not available	BR144	1	run 13	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR144.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR145	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR145	not available	BR145	1	run 14	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR145.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR146B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR146B	not available	BR146B	1	run 15	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR146B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR146B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR146B	not available	BR146B	1	run 16	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR146B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR149B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR149B	not available	BR149B	1	run 17	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR149B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR150B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR150B	not available	BR150B	1	run 18	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR150B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR150B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR150B	not available	BR150B	1	run 19	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR150B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR159	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR159	not available	BR159	1	run 20	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR159.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
