source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
breast cancer cell line BR184	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR184	not available	BR184	1	run 31	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR184.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR190	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR190	not available	BR190	1	run 32	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR190.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR191	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR191	not available	BR191	1	run 33	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR191.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR192	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR192	not available	BR192	1	run 34	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR192.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR193	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR193	not available	BR193	1	run 35	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR193.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR196	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR196	not available	BR196	1	run 36	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR196.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR20	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR20	not available	BR20	1	run 37	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR204	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR204	not available	BR204	1	run 38	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR204.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR215	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR215	not available	BR215	1	run 39	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR215.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR21B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR21B	not available	BR21B	1	run 40	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR21B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR224	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR224	not available	BR224	1	run 41	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR224.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR23	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR23	not available	BR23	1	run 42	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR23.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR25	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR25	not available	BR25	1	run 43	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR25.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR28	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR28	not available	BR28	1	run 44	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR28.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR29B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR29B	not available	BR29B	1	run 45	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR29B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR29B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR29B	not available	BR29B	1	run 46	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR29B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR33B	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR33B	not available	BR33B	1	run 47	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR33B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR40	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR40	not available	BR40	1	run 48	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR40.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR43	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR43	not available	BR43	1	run 49	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR43.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR47	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR47	not available	BR47	1	run 50	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR47.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR48	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR48	not available	BR48	1	run 51	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR48.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR55	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR55	not available	BR55	1	run 52	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR55.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR58	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR58	not available	BR58	1	run 53	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR58.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR61	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR61	not available	BR61	1	run 54	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR61.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR64	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR64	not available	BR64	1	run 55	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR64.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR66	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR66	not available	BR66	1	run 56	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR66.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR67	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR67	not available	BR67	1	run 57	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR67.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR68	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR68	not available	BR68	1	run 58	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR68.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR69	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR69	not available	BR69	1	run 59	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR69.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR73	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR73	not available	BR73	1	run 60	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR73.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR8	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR8	not available	BR8	1	run 61	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR8.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR80	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR80	not available	BR80	1	run 62	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR80.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR82	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR82	not available	BR82	1	run 63	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR82.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR83	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR83	not available	BR83	1	run 64	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR83.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR84	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR84	not available	BR84	1	run 65	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR84.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR86	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR86	not available	BR86	1	run 66	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR86.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR90	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR90	not available	BR90	1	run 67	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR90.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR154	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR154	not available	BR154	1	run 68	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR154.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR155	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR155	not available	BR155	1	run 69	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_L160226_BR155.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
