source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
cancer cell line batch 181214	Homo sapiens	not available	neoplasm	not available	cell line	12	run 12	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181214.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181216	Homo sapiens	not available	neoplasm	not available	cell line	13	run 13	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181216.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181219	Homo sapiens	not available	neoplasm	not available	cell line	14	run 14	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181219.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181220	Homo sapiens	not available	neoplasm	not available	cell line	15	run 15	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181220.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181221	Homo sapiens	not available	neoplasm	not available	cell line	16	run 16	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181221.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181222	Homo sapiens	not available	neoplasm	not available	cell line	17	run 17	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181222.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190111	Homo sapiens	not available	neoplasm	not available	cell line	18	run 18	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190111.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190115	Homo sapiens	not available	neoplasm	not available	cell line	19	run 19	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190115.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190118	Homo sapiens	not available	neoplasm	not available	cell line	20	run 20	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190118.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190120	Homo sapiens	not available	neoplasm	not available	cell line	21	run 21	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190120.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
