source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
cancer cell line batch 190704	Homo sapiens	not available	neoplasm	not available	cell line	42	run 42	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190704.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190707	Homo sapiens	not available	neoplasm	not available	cell line	43	run 43	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190707.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190715	Homo sapiens	not available	neoplasm	not available	cell line	44	run 44	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190715.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190716	Homo sapiens	not available	neoplasm	not available	cell line	45	run 45	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190716.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190721	Homo sapiens	not available	neoplasm	not available	cell line	46	run 46	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190721.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190722	Homo sapiens	not available	neoplasm	not available	cell line	47	run 47	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190722.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190728	Homo sapiens	not available	neoplasm	not available	cell line	48	run 48	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190728.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190801	Homo sapiens	not available	neoplasm	not available	cell line	49	run 49	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190801.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190803	Homo sapiens	not available	neoplasm	not available	cell line	50	run 50	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190803.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190808	Homo sapiens	not available	neoplasm	not available	cell line	51	run 51	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190808.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190812	Homo sapiens	not available	neoplasm	not available	cell line	52	run 52	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190812.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190816	Homo sapiens	not available	neoplasm	not available	cell line	53	run 53	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190816.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190818	Homo sapiens	not available	neoplasm	not available	cell line	54	run 54	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190818.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190819	Homo sapiens	not available	neoplasm	not available	cell line	55	run 55	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190819.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190821	Homo sapiens	not available	neoplasm	not available	cell line	56	run 56	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190821.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190826	Homo sapiens	not available	neoplasm	not available	cell line	57	run 57	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190826.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190830	Homo sapiens	not available	neoplasm	not available	cell line	58	run 58	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190830.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190903	Homo sapiens	not available	neoplasm	not available	cell line	59	run 59	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190903.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190907	Homo sapiens	not available	neoplasm	not available	cell line	60	run 60	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190907.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190909	Homo sapiens	not available	neoplasm	not available	cell line	61	run 61	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190909.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190911	Homo sapiens	not available	neoplasm	not available	cell line	62	run 62	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190911.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190920	Homo sapiens	not available	neoplasm	not available	cell line	63	run 63	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190920.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190922	Homo sapiens	not available	neoplasm	not available	cell line	64	run 64	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190922.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190925	Homo sapiens	not available	neoplasm	not available	cell line	65	run 65	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190925.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 190929	Homo sapiens	not available	neoplasm	not available	cell line	66	run 66	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	190929.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191005	Homo sapiens	not available	neoplasm	not available	cell line	67	run 67	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191005.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191011	Homo sapiens	not available	neoplasm	not available	cell line	68	run 68	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191011.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191012	Homo sapiens	not available	neoplasm	not available	cell line	69	run 69	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191012.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191015	Homo sapiens	not available	neoplasm	not available	cell line	70	run 70	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191015.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191017	Homo sapiens	not available	neoplasm	not available	cell line	71	run 71	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191017.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191021	Homo sapiens	not available	neoplasm	not available	cell line	72	run 72	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191021.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191022	Homo sapiens	not available	neoplasm	not available	cell line	73	run 73	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191022.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191025	Homo sapiens	not available	neoplasm	not available	cell line	74	run 74	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191025.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191105	Homo sapiens	not available	neoplasm	not available	cell line	75	run 75	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191105.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191106	Homo sapiens	not available	neoplasm	not available	cell line	76	run 76	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191106.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191107	Homo sapiens	not available	neoplasm	not available	cell line	77	run 77	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191107.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191109	Homo sapiens	not available	neoplasm	not available	cell line	78	run 78	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191109.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191111	Homo sapiens	not available	neoplasm	not available	cell line	79	run 79	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191111.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191113	Homo sapiens	not available	neoplasm	not available	cell line	80	run 80	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191113.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191114	Homo sapiens	not available	neoplasm	not available	cell line	81	run 81	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191114.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191117	Homo sapiens	not available	neoplasm	not available	cell line	82	run 82	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191117.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191121	Homo sapiens	not available	neoplasm	not available	cell line	83	run 83	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191121.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191129	Homo sapiens	not available	neoplasm	not available	cell line	84	run 84	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191129.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191202	Homo sapiens	not available	neoplasm	not available	cell line	85	run 85	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191202.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191204	Homo sapiens	not available	neoplasm	not available	cell line	86	run 86	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191204.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191206	Homo sapiens	not available	neoplasm	not available	cell line	87	run 87	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191206.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191207	Homo sapiens	not available	neoplasm	not available	cell line	88	run 88	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191207.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191208	Homo sapiens	not available	neoplasm	not available	cell line	89	run 89	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191208.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191209	Homo sapiens	not available	neoplasm	not available	cell line	90	run 90	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191209.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191211	Homo sapiens	not available	neoplasm	not available	cell line	91	run 91	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191211.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 191216	Homo sapiens	not available	neoplasm	not available	cell line	92	run 92	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	191216.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
